date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
9/4/2021,Faroe Islands,Denmark,0,1,FIFA World Cup qualification,Tórshavn,Faroe Islands,FALSE
9/4/2021,Scotland,Moldova,1,0,FIFA World Cup qualification,Glasgow,Scotland,FALSE
9/4/2021,Israel,Austria,5,2,FIFA World Cup qualification,Haifa,Israel,FALSE
9/4/2021,Gibraltar,Turkey,0,3,FIFA World Cup qualification,Gibraltar,Gibraltar,FALSE
9/4/2021,Netherlands,Montenegro,4,0,FIFA World Cup qualification,Eindhoven,Netherlands,FALSE
9/4/2021,Slovakia,Croatia,0,1,FIFA World Cup qualification,Bratislava,Slovakia,FALSE
9/5/2021,Estonia,Northern Ireland,0,1,Friendly,Tallinn,Estonia,FALSE
9/5/2021,Kosovo,Greece,1,1,FIFA World Cup qualification,Pristina,Kosovo,FALSE
9/5/2021,Spain,Georgia,4,0,FIFA World Cup qualification,Badajoz,Spain,FALSE
9/5/2021,Switzerland,Italy,0,0,FIFA World Cup qualification,Basel,Switzerland,FALSE
9/5/2021,Belarus,Wales,2,3,FIFA World Cup qualification,Kazan,Russia,TRUE
9/5/2021,England,Andorra,4,0,FIFA World Cup qualification,London,England,FALSE
9/5/2021,Albania,Hungary,1,0,FIFA World Cup qualification,Elbasan,Albania,FALSE
9/5/2021,Iceland,North Macedonia,2,2,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
9/5/2021,Germany,Armenia,6,0,FIFA World Cup qualification,Stuttgart,Germany,FALSE
9/5/2021,Romania,Liechtenstein,2,0,FIFA World Cup qualification,Bucharest,Romania,FALSE
9/7/2021,Luxembourg,Qatar,1,1,Friendly,Luxembourg,Luxembourg,FALSE
9/7/2021,Republic of Ireland,Serbia,1,1,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE
9/7/2021,Azerbaijan,Portugal,0,3,FIFA World Cup qualification,Baku,Azerbaijan,FALSE
9/7/2021,Bosnia and Herzegovina,Kazakhstan,2,2,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,FALSE
9/7/2021,France,Finland,2,0,FIFA World Cup qualification,Lyon,France,FALSE
9/7/2021,Austria,Scotland,0,1,FIFA World Cup qualification,Vienna,Austria,FALSE
9/7/2021,Denmark,Israel,5,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE
9/7/2021,Netherlands,Turkey,6,1,FIFA World Cup qualification,Amsterdam,Netherlands,FALSE
9/7/2021,Croatia,Slovenia,3,0,FIFA World Cup qualification,Split,Croatia,FALSE
9/8/2021,Bulgaria,Georgia,4,1,Friendly,Sofia,Bulgaria,FALSE
9/8/2021,Czech Republic,Ukraine,1,1,Friendly,Plzeň,Czech Republic,FALSE
9/8/2021,Kosovo,Spain,0,2,FIFA World Cup qualification,Pristina,Kosovo,FALSE
9/8/2021,Greece,Sweden,2,1,FIFA World Cup qualification,Athens,Greece,FALSE
9/8/2021,Northern Ireland,Switzerland,0,0,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE
9/8/2021,Italy,Lithuania,5,0,FIFA World Cup qualification,Reggio Emilia,Italy,FALSE
9/8/2021,Wales,Estonia,0,0,FIFA World Cup qualification,Cardiff,Wales,FALSE
9/8/2021,Hungary,Andorra,2,1,FIFA World Cup qualification,Budapest,Hungary,FALSE
9/8/2021,Poland,England,1,1,FIFA World Cup qualification,Warsaw,Poland,FALSE
9/8/2021,Iceland,Germany,0,4,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
9/8/2021,North Macedonia,Romania,0,0,FIFA World Cup qualification,Skopje,North Macedonia,FALSE
10/6/2021,Italy,Spain,1,2,UEFA Nations League,Milan,Italy,FALSE
10/7/2021,Belgium,France,2,3,UEFA Nations League,Turin,Italy,TRUE
10/8/2021,Czech Republic,Wales,2,2,FIFA World Cup qualification,Prague,Czech Republic,FALSE
10/8/2021,Estonia,Belarus,2,0,FIFA World Cup qualification,Tallinn,Estonia,FALSE
10/8/2021,Latvia,Netherlands,0,1,FIFA World Cup qualification,Riga,Latvia,FALSE
10/8/2021,Turkey,Norway,1,1,FIFA World Cup qualification,Istanbul,Turkey,FALSE
10/8/2021,Cyprus,Croatia,0,3,FIFA World Cup qualification,Larnaca,Cyprus,FALSE
10/8/2021,Iceland,Armenia,1,1,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
10/8/2021,Germany,Romania,2,1,FIFA World Cup qualification,Hamburg,Germany,FALSE
10/9/2021,Luxembourg,Serbia,0,1,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
10/9/2021,Georgia,Greece,0,2,FIFA World Cup qualification,Batumi,Georgia,FALSE
10/9/2021,Switzerland,Northern Ireland,2,0,FIFA World Cup qualification,Geneva,Switzerland,FALSE
10/9/2021,Finland,Ukraine,1,2,FIFA World Cup qualification,Helsinki,Finland,FALSE
10/9/2021,Kazakhstan,Bosnia and Herzegovina,0,2,FIFA World Cup qualification,Nur-Sultan,Kazakhstan,FALSE
10/9/2021,Scotland,Israel,3,2,FIFA World Cup qualification,Glasgow,Scotland,FALSE
10/9/2021,Faroe Islands,Austria,0,2,FIFA World Cup qualification,Tórshavn,Faroe Islands,FALSE
10/9/2021,Moldova,Denmark,0,4,FIFA World Cup qualification,Chișinău,Moldova,FALSE
10/9/2021,Andorra,England,0,5,FIFA World Cup qualification,Andorra la Vella,Andorra,FALSE
10/9/2021,Hungary,Albania,0,1,FIFA World Cup qualification,Budapest,Hungary,FALSE
10/9/2021,Portugal,Qatar,3,0,Friendly,Faro-Loulé,Portugal,FALSE
10/10/2021,Italy,Belgium,2,1,UEFA Nations League,Turin,Italy,FALSE
10/10/2021,Spain,France,1,2,UEFA Nations League,Milan,Italy,TRUE
10/11/2021,Estonia,Wales,0,1,FIFA World Cup qualification,Tallinn,Estonia,FALSE
10/11/2021,Netherlands,Gibraltar,6,0,FIFA World Cup qualification,Rotterdam,Netherlands,FALSE
10/11/2021,Latvia,Turkey,1,2,FIFA World Cup qualification,Riga,Latvia,FALSE
10/11/2021,Croatia,Slovakia,2,2,FIFA World Cup qualification,Osijek,Croatia,FALSE
10/11/2021,Iceland,Liechtenstein,4,0,FIFA World Cup qualification,Reykjavík,Iceland,FALSE
10/11/2021,North Macedonia,Germany,0,4,FIFA World Cup qualification,Skopje,North Macedonia,FALSE
10/11/2021,Romania,Armenia,1,0,FIFA World Cup qualification,Bucharest,Romania,FALSE
10/12/2021,Portugal,Luxembourg,5,0,FIFA World Cup qualification,Faro-Loulé,Portugal,FALSE
10/12/2021,Serbia,Azerbaijan,3,1,FIFA World Cup qualification,Belgrade,Serbia,FALSE
10/12/2021,Kosovo,Georgia,1,2,FIFA World Cup qualification,Pristina,Kosovo,FALSE
10/12/2021,Sweden,Greece,2,0,FIFA World Cup qualification,Stockholm,Sweden,FALSE
10/12/2021,Lithuania,Switzerland,0,4,FIFA World Cup qualification,Vilnius,Lithuania,FALSE
10/12/2021,Kazakhstan,Finland,0,2,FIFA World Cup qualification,Nur-Sultan,Kazakhstan,FALSE
10/12/2021,Ukraine,Bosnia and Herzegovina,1,1,FIFA World Cup qualification,Lviv,Ukraine,FALSE
10/12/2021,Faroe Islands,Scotland,0,1,FIFA World Cup qualification,Tórshavn,Faroe Islands,FALSE
10/12/2021,Denmark,Austria,1,0,FIFA World Cup qualification,Copenhagen,Denmark,FALSE
10/12/2021,Israel,Moldova,2,1,FIFA World Cup qualification,Beer Sheva,Israel,FALSE
10/12/2021,England,Hungary,1,1,FIFA World Cup qualification,London,England,FALSE
11/11/2021,Serbia,Qatar,4,0,Friendly,Belgrade,Serbia,FALSE
11/11/2021,Ukraine,Bulgaria,1,1,Friendly,Odessa,Ukraine,FALSE
11/11/2021,Republic of Ireland,Portugal,0,0,FIFA World Cup qualification,Dublin,Republic of Ireland,FALSE
11/11/2021,Azerbaijan,Luxembourg,1,3,FIFA World Cup qualification,Baku,Azerbaijan,FALSE
11/11/2021,Georgia,Sweden,2,0,FIFA World Cup qualification,Batumi,Georgia,FALSE
11/11/2021,Greece,Spain,0,1,FIFA World Cup qualification,Athens,Greece,FALSE
11/11/2021,Malta,Croatia,1,7,FIFA World Cup qualification,Ta' Qali,Malta,FALSE
11/11/2021,Germany,Liechtenstein,9,0,FIFA World Cup qualification,Wolfsburg,Germany,FALSE
11/11/2021,Romania,Iceland,0,0,FIFA World Cup qualification,Bucharest,Romania,FALSE
11/12/2021,Italy,Switzerland,1,1,FIFA World Cup qualification,Rome,Italy,FALSE
11/12/2021,Moldova,Scotland,0,2,FIFA World Cup qualification,Chișinău,Moldova,FALSE
11/12/2021,Denmark,Faroe Islands,3,1,FIFA World Cup qualification,Copenhagen,Denmark,FALSE
11/12/2021,Austria,Israel,4,2,FIFA World Cup qualification,Klagenfurt,Austria,FALSE
11/12/2021,England,Albania,5,0,FIFA World Cup qualification,London,England,FALSE
11/12/2021,Hungary,San Marino,4,0,FIFA World Cup qualification,Budapest,Hungary,FALSE
11/13/2021,Bosnia and Herzegovina,Finland,1,3,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,FALSE
11/13/2021,France,Kazakhstan,8,0,FIFA World Cup qualification,Paris,France,FALSE
11/13/2021,Wales,Belarus,5,1,FIFA World Cup qualification,Cardiff,Wales,FALSE
11/13/2021,Belgium,Estonia,3,1,FIFA World Cup qualification,Brussels,Belgium,FALSE
11/13/2021,Turkey,Gibraltar,6,0,FIFA World Cup qualification,Istanbul,Turkey,FALSE
11/13/2021,Montenegro,Netherlands,2,2,FIFA World Cup qualification,Podgorica,Montenegro,FALSE
11/14/2021,Portugal,Serbia,1,2,FIFA World Cup qualification,Lisbon,Portugal,FALSE
11/14/2021,Luxembourg,Republic of Ireland,0,3,FIFA World Cup qualification,Luxembourg,Luxembourg,FALSE
11/14/2021,Spain,Sweden,1,0,FIFA World Cup qualification,Seville,Spain,FALSE
11/14/2021,Greece,Kosovo,1,1,FIFA World Cup qualification,Athens,Greece,FALSE
11/14/2021,Croatia,Russia,1,0,FIFA World Cup qualification,Split,Croatia,FALSE
11/14/2021,Liechtenstein,Romania,0,2,FIFA World Cup qualification,Vaduz,Liechtenstein,FALSE
11/14/2021,North Macedonia,Iceland,3,1,FIFA World Cup qualification,Skopje,North Macedonia,FALSE
11/14/2021,Armenia,Germany,1,4,FIFA World Cup qualification,Yerevan,Armenia,FALSE
11/15/2021,Georgia,Uzbekistan,1,0,Friendly,Gori,Georgia,FALSE
11/15/2021,Northern Ireland,Italy,0,0,FIFA World Cup qualification,Belfast,Northern Ireland,FALSE
11/15/2021,Switzerland,Bulgaria,4,0,FIFA World Cup qualification,Lucerne,Switzerland,FALSE
11/15/2021,Scotland,Denmark,2,0,FIFA World Cup qualification,Glasgow,Scotland,FALSE
11/15/2021,Austria,Moldova,4,1,FIFA World Cup qualification,Klagenfurt,Austria,FALSE
11/15/2021,Israel,Faroe Islands,3,2,FIFA World Cup qualification,Netanya,Israel,FALSE
11/15/2021,Poland,Hungary,1,2,FIFA World Cup qualification,Warsaw,Poland,FALSE
11/15/2021,San Marino,England,0,10,FIFA World Cup qualification,Serravalle,San Marino,FALSE
11/16/2021,Kazakhstan,Tajikistan,1,0,Friendly,Nur-Sultan,Kazakhstan,FALSE
11/16/2021,Bosnia and Herzegovina,Ukraine,0,2,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,FALSE
11/16/2021,Finland,France,0,2,FIFA World Cup qualification,Helsinki,Finland,FALSE
11/16/2021,Wales,Belgium,1,1,FIFA World Cup qualification,Cardiff,Wales,FALSE
11/16/2021,Czech Republic,Estonia,2,0,FIFA World Cup qualification,Prague,Czech Republic,FALSE
